age,assists,blocks,defensive_rebound,effective_field_goal_percentage,field_goal_attempts,field_goal_made,field_goal_percentage,free_throw_attempts,free_throw_made,free_throw_percentage,games_played,games_started,minutes_played,name,offensive_rebound,personal_fouls,points,position,ranking,steals,team,three_pt_percentage,three_pts_attempts,three_pts_made,total_rebound,turnover,two_pts_attempts,two_pts_made,two_pts_percentage
24,97,68,296,.529,469,235,.501,112,69,.616,74,18,1624,Precious Achiuwa,191,143,565,PF-C,1,46,,.268,97,26,487,83,372,209,.562
24,44,12,86,.497,170,78,.459,42,24,.571,25,0,437,Precious Achiuwa,50,40,193,C,1,16,TOR,.277,47,13,136,29,123,65,.528
24,53,56,210,.547,299,157,.525,70,45,.643,49,18,1187,Precious Achiuwa,141,103,372,PF,1,30,NYK,.260,50,13,351,54,249,144,.578
26,278,66,578,.529,1017,530,.521,387,292,.755,71,71,2416,Bam Adebayo,159,159,1367,C,2,81,MIA,.357,42,15,737,162,975,515,.528
23,83,44,142,.483,433,178,.411,56,37,.661,78,28,1641,Ochai Agbaji,74,117,455,SG,3,47,,.294,211,62,216,64,222,116,.523
23,47,29,91,.520,249,106,.426,20,15,.750,51,10,1003,Ochai Agbaji,35,66,274,SG,3,27,UTA,.331,142,47,126,34,107,59,.551
23,36,15,51,.432,184,72,.391,36,22,.611,27,18,638,Ochai Agbaji,39,51,181,SG,3,20,TOR,.217,69,15,90,30,115,57,.496
23,138,54,280,.528,568,247,.435,87,54,.621,61,35,1618,Santi Aldama,72,89,654,PF,4,43,MEM,.349,304,106,352,69,264,141,.534
25,204,42,132,.560,538,236,.439,65,52,.800,82,20,1921,Nickeil Alexander-Walker,35,143,655,SG,5,64,MIN,.391,335,131,167,76,203,105,.517
28,227,45,247,.649,682,340,.499,147,129,.878,75,74,2513,Grayson Allen,48,157,1014,SG,6,69,PHO,.461,445,205,295,95,237,135,.570
25,210,81,568,.634,819,519,.634,314,233,.742,77,77,2442,Jarrett Allen,243,147,1271,C,7,53,CLE,.000,6,0,811,121,813,519,.638
24,5,0,13,.261,23,6,.261,2,1,.500,5,0,125,Timmy Allen,4,18,13,SF,8,4,MEM,.000,7,0,17,2,16,6,.375
25,117,15,103,.525,345,142,.412,52,35,.673,56,0,1028,Jose Alvarado,25,89,397,PG,9,59,NOP,.377,207,78,128,40,138,64,.464
30,331,47,213,.472,433,199,.460,137,97,.708,79,10,1782,Kyle Anderson,60,128,506,PF,10,71,MIN,.229,48,11,273,91,385,188,.488
29,476,79,645,.624,1369,837,.611,782,514,.657,73,73,2567,Giannis Antetokounmpo,196,210,2222,PF,11,87,MIL,.274,124,34,841,250,1245,803,.645
31,17,4,6,.533,30,16,.533,2,0,.000,34,0,155,Thanasis Antetokounmpo,7,24,32,PF,12,7,MIL,.000,1,0,13,14,29,16,.552
23,236,37,247,.496,763,332,.435,218,180,.826,81,0,1817,Cole Anthony,64,175,937,PG,13,64,ORL,.338,275,93,311,126,488,239,.490
26,107,36,161,.577,577,282,.489,89,67,.753,50,50,1702,OG Anunoby,47,119,733,SF,14,68,,.382,267,102,208,81,310,180,.581
26,72,13,82,.584,321,157,.489,46,33,.717,27,27,900,OG Anunoby,24,62,408,SF,14,28,TOR,.374,163,61,106,43,158,96,.608
26,35,23,79,.568,256,125,.488,43,34,.791,23,23,802,OG Anunoby,23,57,325,SF,14,40,NYK,.394,104,41,102,38,152,84,.553
29,4,0,8,.000,6,0,.000,0,0,,20,0,45,Ryan Arcidiacono,0,5,0,PG,15,2,NYK,.000,6,0,8,2,0,0,
23,286,36,456,.560,803,406,.506,273,202,.740,75,75,2257,Deni Avdija,84,185,1102,SF,16,60,WAS,.374,235,88,540,160,568,318,.560
25,90,42,433,.571,749,427,.570,79,65,.823,55,55,1784,Deandre Ayton,176,109,920,C,17,56,POR,.100,10,1,609,99,739,426,.576
24,3,6,21,.696,23,16,.696,13,3,.231,16,0,113,Udoka Azubuike,11,17,35,C,18,1,PHO,,0,0,32,4,23,16,.696
21,13,20,31,.636,22,14,.636,12,6,.500,22,1,226,Ibou Badji,20,46,34,C,19,3,POR,,0,0,51,15,22,14,.636
24,55,33,182,.597,408,239,.586,126,96,.762,50,25,1053,Marvin Bagley III,130,81,583,C,20,20,,.391,23,9,312,59,385,230,.597
24,27,14,72,.594,181,107,.591,61,50,.820,26,10,478,Marvin Bagley III,46,40,265,C,20,5,DET,.167,6,1,118,29,175,106,.606
24,28,19,110,.599,227,132,.581,65,46,.708,24,15,575,Marvin Bagley III,84,41,318,C,20,15,WAS,.471,17,8,194,30,210,124,.590
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
19,7,0,3,.354,24,8,.333,7,6,.857,10,0,65,Amari Bailey,6,2,23,PG,21,3,CHO,.125,8,1,9,4,16,7,.438
21,29,15,106,.481,155,59,.381,28,19,.679,38,7,493,Patrick Baldwin Jr.,17,56,168,SF,22,18,WAS,.320,97,31,123,19,58,28,.483
22,176,4,84,.515,423,183,.433,104,90,.865,22,22,711,LaMelo Ball,29,79,526,PG,23,40,CHO,.355,197,70,113,83,226,113,.500
25,41,60,161,.553,198,97,.490,50,34,.680,57,17,740,Mo Bamba,77,101,253,C,24,22,PHI,.391,64,25,238,39,134,72,.537
21,431,47,472,.497,1407,640,.455,559,405,.725,80,80,2799,Paolo Banchero,82,153,1804,PF,25,71,ORL,.339,351,119,554,247,1056,521,.493
25,230,22,149,.552,776,360,.464,161,140,.870,42,42,1443,Desmond Bane,36,120,997,SG,26,43,MEM,.381,360,137,185,112,416,223,.536
24,127,20,137,.463,500,202,.404,120,94,.783,54,9,1047,Dalano Banton,41,64,557,PG,27,33,,.296,199,59,178,77,301,143,.475
24,19,3,23,.392,51,19,.373,20,16,.800,24,1,171,Dalano Banton,12,20,56,PG,27,5,BOS,.125,16,2,35,10,35,17,.486
24,108,17,114,.471,449,183,.408,100,78,.780,30,8,876,Dalano Banton,29,44,501,PG,27,28,POR,.311,183,57,143,67,266,126,.474
20,36,14,68,.509,113,56,.496,42,29,.690,33,1,420,Dominick Barlow,45,47,144,PF,28,12,SAS,.333,9,3,113,9,104,53,.510
31,99,12,182,.576,732,347,.474,196,157,.801,82,82,2381,Harrison Barnes,67,98,1000,PF,29,54,SAC,.387,385,149,249,58,347,198,.571
22,363,88,353,.528,942,447,.475,251,196,.781,60,60,2094,Scottie Barnes,141,118,1191,SG,30,75,TOR,.341,296,101,494,165,646,346,.536
23,193,22,262,.547,880,436,.495,291,208,.715,58,58,1838,RJ Barrett,53,129,1170,SG,31,31,,.360,250,90,315,126,630,346,.549
23,63,9,92,.478,388,164,.423,124,103,.831,26,26,766,RJ Barrett,19,45,474,SG,31,12,NYK,.331,130,43,111,47,258,121,.469
23,130,13,170,.601,492,272,.553,167,105,.629,32,32,1072,RJ Barrett,34,84,696,SG,31,19,TOR,.392,120,47,204,79,372,225,.605
23,21,17,53,.725,40,29,.725,6,5,.833,19,0,205,Charles Bassey,23,31,63,C,32,8,SAS,.000,1,0,76,15,39,29,.744
20,10,2,13,.408,49,15,.306,4,1,.250,15,0,133,Emoni Bates,1,5,41,SF,33,1,CLE,.303,33,10,14,8,16,5,.313
28,38,22,79,.497,166,72,.434,42,32,.762,53,8,665,Keita Bates-Diop,31,35,197,SF,34,25,,.304,69,21,110,15,97,51,.526
28,34,20,71,.493,150,64,.427,36,26,.722,39,8,597,Keita Bates-Diop,30,33,174,SF,34,22,PHO,.313,64,20,101,13,86,44,.512
28,4,2,8,.531,16,8,.500,6,6,1.000,14,0,68,Keita Bates-Diop,1,2,23,SF,34,3,BRK,.200,5,1,9,2,11,7,.636
35,128,38,178,.596,256,116,.453,21,15,.714,60,38,1529,Nicolas Batum,70,109,320,PF,35,48,,.395,185,73,248,40,71,43,.606
35,5,4,7,.500,8,3,.375,0,0,,3,0,54,Nicolas Batum,0,5,8,PF,35,3,LAC,.286,7,2,7,1,1,1,1.000
35,123,34,171,.599,248,113,.456,21,15,.714,57,38,1475,Nicolas Batum,70,104,312,PF,35,45,PHI,.399,178,71,241,39,70,42,.600
23,7,7,20,.633,30,18,.600,12,10,.833,9,0,152,Darius Bazley,8,3,48,PF,36,6,,.250,8,2,28,8,22,16,.727
23,2,0,1,.000,1,0,.000,0,0,,3,0,10,Darius Bazley,0,0,0,PF,36,0,PHI,,0,0,1,1,1,0,.000
23,5,7,19,.655,29,18,.621,12,10,.833,6,0,142,Darius Bazley,8,3,48,PF,36,6,UTA,.250,8,2,27,7,21,16,.762
30,265,27,178,.582,735,377,.513,134,109,.813,53,53,1767,Bradley Beal,54,127,964,SG,37,52,PHO,.430,235,101,232,131,500,276,.552
27,108,9,249,.598,722,320,.443,35,25,.714,79,77,2337,Malik Beasley,41,158,889,SG,38,59,MIL,.413,542,224,290,54,180,96,.533
23,31,7,77,.578,166,81,.488,28,19,.679,48,1,608,MarJon Beauchamp,22,54,211,SF,39,13,MIL,.400,75,30,99,27,91,51,.560
24,16,1,16,.539,64,29,.453,9,5,.556,19,0,149,Jules Bernard,10,14,74,SG,40,3,WAS,.379,29,11,26,8,35,18,.514
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
31,35,12,52,.556,234,92,.393,33,30,.909,43,1,674,Dāvis Bertāns,9,56,290,PF,41,26,,.380,200,76,61,18,34,16,.471
31,9,3,8,.577,26,10,.385,15,14,.933,15,0,91,Dāvis Bertāns,2,10,44,PF,41,3,OKC,.417,24,10,10,1,2,0,.000
31,26,9,44,.553,208,82,.394,18,16,.889,28,1,583,Dāvis Bertāns,7,46,246,PF,41,23,CHO,.375,176,66,51,17,32,16,.500
35,212,31,190,.497,379,158,.417,90,74,.822,73,13,1462,Patrick Beverley,49,128,451,PG,42,43,,.337,181,61,239,65,198,97,.490
35,144,18,115,.504,241,104,.432,63,51,.810,47,5,919,Patrick Beverley,30,83,294,PG,42,24,PHI,.321,109,35,145,49,132,69,.523
35,68,13,75,.486,138,54,.391,27,23,.852,26,8,543,Patrick Beverley,19,45,157,PG,42,19,MIL,.361,72,26,94,16,66,28,.424
24,92,11,244,.497,697,290,.416,203,170,.837,63,51,2062,Saddiq Bey,167,88,863,SF,43,51,ATL,.316,358,113,411,54,339,177,.522
